Feature,Baseline_Acc,Adv_Acc,Acc_Drop
SSLfinal_State,0.9683,0.7232,0.2451
web_traffic,0.9683,0.9317,0.0366
Google_Index,0.9683,0.9335,0.0348
having_IP_Address,0.9683,0.9412,0.0271
double_slash_redirecting,0.9683,0.9439,0.0244
DNSRecord,0.9683,0.9484,0.0199
Links_pointing_to_page,0.9683,0.9516,0.0167
Statistical_report,0.9683,0.9534,0.0149
having_Sub_Domain,0.9683,0.9534,0.0149
Submitting_to_email,0.9683,0.9593,0.009
Request_URL,0.9683,0.9597,0.0086
age_of_domain,0.9683,0.9629,0.0054
URL_of_Anchor,0.9683,0.9652,0.0032
Prefix_Suffix,0.9683,0.9652,0.0032
port,0.9683,0.9665,0.0018
Page_Rank,0.9683,0.9665,0.0018
on_mouseover,0.9683,0.967,0.0014
Iframe,0.9683,0.967,0.0014
having_At_Symbol,0.9683,0.9674,0.0009
Abnormal_URL,0.9683,0.9679,0.0005
Domain_registeration_length,0.9683,0.9683,0.0
Links_in_tags,0.9683,0.9683,0.0
SFH,0.9683,0.9683,0.0
Redirect,0.9683,0.9688,-0.0005
URL_Length,0.9683,0.9688,-0.0005
RightClick,0.9683,0.9692,-0.0009
HTTPS_token,0.9683,0.9692,-0.0009
popUpWidnow,0.9683,0.9697,-0.0014
Favicon,0.9683,0.9706,-0.0023
Shortining_Service,0.9683,0.9751,-0.0068
